id,Title,Year,upc
281118,All She Wants for Christmas,2006,1313156329
57211,All Souls Day,2005,1313129899
188923,All Star Superman,2011,883929137404
111554,All the Brothers Were Valiant,1953,88331616464
21504,All the King's Men,1949,4339605889
66615,All the King's Men,2006,4339617381
9003,All the President's Men,1976,883929351022
21084,All the Pretty Horses,2000,4339604605
34378,All the Real Girls,2003,4339600237
111559,All the Way Home,1963,26619800000000
71316,All This and Heaven Too,1940,8539120310
66412,All Through the Night,1941,1256967989
71357,Allegheny Uprising,1939,5393978642
744530,"ALLEGIANT (4K,STD,WS)",2016,3139824585
20692,Almost Famous,2000,883929301775
10179,Aloha Scooby-Doo!,2005,883929184248
22979,Along Came a Spider,2001,883929303762
5494,Along Came Polly,2004,2519238432
71373,Along the Great Divide,1951,883316125779
816122,"ALPHA & OMEGA- THE BIG FUREEZE (DVD+DC,STD,WS)",2016,3139828450
765447,"ALPHA & OMEGA: DINO DIGS (DVD+DC,STD,WS)",2016,3139828064
678795,"ALPHA & OMEGA: FAMILY VACATION (DVD+DC,STD,WS)",2015,3139822370
541678,Alpha Alert,2014,3139819705
178729,Alpha and Omega,2010,3139812943
470580,Alpha And Omega 2: A Howl-Iday Adventure,2013,3139817902
513076,Alpha And Omega 3: The Great Wolf Games,2014,3139818914
575729,Alpha and Omega: The Legend of the Saw Toothed Cave,2014,3139820138
70298,Alpha Dog,2007,2519204614
187179,"Alphabet Killer, The",2008,1313832038
13362,Alphaville,1965,3742913092
129064,Already Dead,2007,4339622764
5937,Altered,2006,2519286602
9148,Altered States,1980,88392922803
187188,Altitude,2010,13132219196
854705,"ALTITUDE (DVD,STD,WS)",2017,3139826466
14584,Alvarez Kelly,1966,4339601199
130824,Alvin and the Chipmunks,2007,2454355644
737776,"ALVIN AND THE CHIPMUNKS : ROADCHIP (BD+DVD+DC,STD,WS)",2015,2454314588
168783,ALVIN AND THE CHIPMUNKS 2: THE SQUEAKQUEL,2009,24543813767
476819,Alvin and the Chipmunks Meet Frankenstein,1999,5050582557633
383681,Alvin and the Chipmunks Meet the Wolfman,2000,26607000000000
207990,ALVIN AND THE CHIPMUNKS: CHIP-WRECKED,2011,2454360214
4956,Always,1989,2519205562
9083,Amadeus,1984,883929036882
9668,Amadeus,1984,883929091058
7417,Amandla!: A Revolution in Four-Part Harmony,2003,1223614498
429694,"Amazing Adventures Of The Living Corpse, The",2013,26518000000000
129013,Amazing Grace,2007,25130700000000
71411,Amazing Grace and Chuck,1987,4339638894
129103,Amazing Journey: The Story of the Who,2007,24828300000000
396131,Amazing Ocean,2013,Scraping failed
9641,Amazing Panda Adventure,1995,88392912843
804103,"AMAZONIA (DVD+DC,STD,WS)",2016,3139823910
480470,Ambushed,2013,1313260833
71430,"Ambushers, The",1967,24818400000000
168577,Amelia,2001,24543641803
25677,Amelie,2001,824255004688
162336,America,2009,4339632339
111667,"America, America",1963,883929158256
568858,America: Imagine a World Without Her,2014,3139820520
23521,America's Sweethearts,2001,4339606393
71479,American Anthem,1986,883316236666
862908,"AMERICAN ASSASSIN (4K,STD,WS)",2017,3139827482
663765,"AMERICAN BAD BOY (DVD+DC,STD,WS)",,3139822012
16576,American Beauty,1999,9736074804
130246,American Crude,2008,4339622847
5887,American Dreamz,2006,25192028540
9295,American Flyers,1985,8539115202
130847,American Gangster (Theatrical),2007,2519210831
133964,American Gangster (Unrated Extended Edition),2007,2519202996
15965,American Gigolo,1980,88392930378
346243,AMERICAN GIRL MCKENNA SHOOTS FOR THE STARS,2012,2519212619
451648,"AMERICAN GIRL:  SAIGE PAINTS THE SKY (DVD,MC,WS,EXCL)",2013,2519219279
892802,"AMERICAN GODS (BD+DC,STD,WS)",2017,Scraping failed
4861,American Graffiti,1973,2519213085
111675,American Guerrilla in the Philippines,1950,2454387886
68304,American Hardcore,2006,4339617094
6926,"AMERICAN HAUNTING (DVD,STD,WS)",2006,6593583780
7332,American Heart,1993,1223613615
663754,"AMERICAN HEIST (BD+DC,STD,WS)",2015,3139822630
187193,American High School,2008,1313164579
13941,American History X,1998,79404312817
9383,American in Paris,1951,88392902041
10490,American Kickboxer 1,1991,1256973646
111679,American Madness,1932,43396388895
5216,American Me,1992,2519205742
15919,American Movie,1999,4339604702
